model,file,n_observations,n_relevant,ARI,n_rel_rel,n_irr_irr,time,convergence ELBO,convergence itr
0,data_sim_crook/0_X_shuffled_n=100_p=200_d=10.csv,100,10,0.9658359724800699,10,187,3.2679924964904785,-293516.4951008843,25
1,data_sim_crook/1_X_shuffled_n=100_p=200_d=10.csv,100,10,1.0,10,189,1.1596262454986572,-295009.4407387118,8
2,data_sim_crook/2_X_shuffled_n=100_p=200_d=10.csv,100,10,1.0,10,190,1.2898988723754883,-295815.5688384451,9
3,data_sim_crook/3_X_shuffled_n=100_p=200_d=10.csv,100,10,1.0,10,190,1.3050642013549805,-295793.60005168774,9
4,data_sim_crook/4_X_shuffled_n=100_p=200_d=10.csv,100,10,0.9778673972602739,10,189,1.3045384883880615,-291698.64888790145,9
5,data_sim_crook/5_X_shuffled_n=100_p=200_d=10.csv,100,10,1.0,10,190,1.4309258460998535,-295824.89370698406,10
6,data_sim_crook/6_X_shuffled_n=100_p=200_d=10.csv,100,10,0.9409473684210526,10,190,1.0468926429748535,-295722.19769706833,7
7,data_sim_crook/7_X_shuffled_n=100_p=200_d=10.csv,100,10,0.4436118396403147,10,189,1.0434558391571045,-298483.85282652656,7
8,data_sim_crook/8_X_shuffled_n=100_p=200_d=10.csv,100,10,1.0,10,189,3.255075216293335,-295061.67947730346,25
9,data_sim_crook/9_X_shuffled_n=100_p=200_d=10.csv,100,10,0.9787400021913005,10,190,3.244852304458618,-292677.0729903021,25
0,data_sim_crook/0_X_shuffled_n=100_p=200_d=20.csv,100,20,1.0,20,179,3.2415528297424316,-287847.20536759525,25
1,data_sim_crook/1_X_shuffled_n=100_p=200_d=20.csv,100,20,0.9721861281826163,20,179,1.0396580696105957,-281655.59394337155,7
2,data_sim_crook/2_X_shuffled_n=100_p=200_d=20.csv,100,20,0.9778673972602739,20,180,1.1754212379455566,-282629.10141482914,8
3,data_sim_crook/3_X_shuffled_n=100_p=200_d=20.csv,100,20,1.0,20,177,1.6882998943328857,-286382.1601016762,12
4,data_sim_crook/4_X_shuffled_n=100_p=200_d=20.csv,100,20,1.0,20,180,1.0380737781524658,-288544.3981366257,7
5,data_sim_crook/5_X_shuffled_n=100_p=200_d=20.csv,100,20,1.0,20,180,3.2321536540985107,-288558.2616618663,25
6,data_sim_crook/6_X_shuffled_n=100_p=200_d=20.csv,100,20,1.0,20,180,3.230046272277832,-288566.62284459366,25
7,data_sim_crook/7_X_shuffled_n=100_p=200_d=20.csv,100,20,1.0,20,180,3.2324628829956055,-288569.42265530763,25
8,data_sim_crook/8_X_shuffled_n=100_p=200_d=20.csv,100,20,1.0,20,179,3.242568016052246,-287935.68600752944,25
9,data_sim_crook/9_X_shuffled_n=100_p=200_d=20.csv,100,20,0.6108490566037735,20,179,3.228543758392334,-294440.4535959565,25
0,data_sim_crook/0_X_shuffled_n=100_p=200_d=50.csv,100,50,1.0,50,149,3.237138032913208,-266327.5552761889,25
1,data_sim_crook/1_X_shuffled_n=100_p=200_d=50.csv,100,50,1.0,50,149,3.221668004989624,-266507.2468788354,25
2,data_sim_crook/2_X_shuffled_n=100_p=200_d=50.csv,100,50,1.0,50,150,3.2294280529022217,-267151.21743090317,25
3,data_sim_crook/3_X_shuffled_n=100_p=200_d=50.csv,100,50,1.0,50,150,3.2485485076904297,-267248.3248954053,25
4,data_sim_crook/4_X_shuffled_n=100_p=200_d=50.csv,100,50,1.0,50,149,3.221060276031494,-266383.4137788132,25
5,data_sim_crook/5_X_shuffled_n=100_p=200_d=50.csv,100,50,1.0,50,150,3.21392822265625,-267272.3196610395,25
